,User,ETH before hack,CRV before hack,% not recovered by user,is_multisig,ETH to recover,CRV to recover,Missed rewards in CRV
423,0xfE5C1305e009ef0CEEd5CFDEA859e96Ec7b72bcd,0.520539479037076,1372.7473035437993,100.0,False,0.4596162403784718,1554.838670192716,108.83870691349013
424,0x2E25362700cf06EAAf4845c34789F67ea1B78D56,0.5177184251364566,1365.3077253923193,100.0,False,0.4571253588220791,1546.412251309954,108.24885759169679
426,0x534B79a2D072C3728a3094F507b6b27727033E20,0.5131822114743804,1353.3449918750982,100.0,False,0.45312005748975037,1532.862692242696,107.30038845698873
427,0x2A76f7d314181b5c10d066C2E83Df09c7CfB6E32,0.5122771874260502,1350.9582962025897,100.0,False,0.4523209562355763,1530.1594075842468,107.11115853089727
428,0xE05Ae8B3F3dCe2160690796668259Ba75DDB8a49,0.5053662547575032,1332.7330422732045,100.0,False,0.44621886980689235,1509.5166210274374,105.66616347192061
429,0x64BCEf4bB291b980caB7a2088d225F1ed41876A8,0.5009575612657506,1321.1066001940185,100.0,False,0.44232616385611856,1496.3479615845758,104.74435731092032
430,0xe609d6FCDfAfFC763E805Fe75F9b3074559B9F6a,0.49530661505816814,1306.204135575427,100.0,False,0.4373365967721489,1479.4687237158525,103.56281066010966
431,0x9caC875960ef8eD0Ec501Ff910e31F1c541B795d,0.48947425016689866,1290.823240369199,100.0,False,0.43218684400258095,1462.047592683879,102.34333148787154
432,0xC34aE1A39662415a4720d4A3e7C2Be0E202568C2,0.489295969360295,1290.3530848739977,100.0,False,0.43202942894116364,1461.5150722825963,102.30605505978173
433,0xE7B0b146922345E1bDc23b389252cBD3d5A0A818,0.48894028770255543,1289.4150944693401,100.0,False,0.43171537578499514,1460.4526598854525,102.23168619198165
434,0x50DF0719ADc14Cec48b82e476e79A214FEF5d830,0.48568564736379644,1280.8320783313497,97.18342047481498,False,0.41676298793586936,1409.8701329921544,98.69090930945079
435,0x9EF8E7C8a3A5DD8b73272095aC638Dec3139aAfC,0.4821025772930263,1271.3829395510272,100.0,False,0.42567794178087676,1440.0285864223174,100.80200104956221
436,0xb8F8bc186924Ef39bA2F593E0fb14AF3Ec6F9cEb,0.4777769682653098,1259.975604722232,100.0,False,0.4218585962005108,1427.1080982378867,99.89756687665206
437,0x24d7B8e8a8764DE80904412bD1089A1fDbe63686,0.47738744026391916,1258.9483560022059,100.0,False,0.4215146580311092,1425.9445876415232,99.81612113490662
438,0xd9B101456F2ec9BEE324Ad19ba6Cda744037DC6A,0.4772828150822861,1258.672442374607,100.0,False,0.4214222780396433,1425.6320747873976,99.79424523511783
439,0xC69b23F92F40497940722090825ba35B46a8081F,0.4756493189689213,1254.3646473364308,100.0,False,0.4199799641085532,1420.7528619189186,99.4527003343243
440,0x514fe3d53F297ab59AfF5912C2912a1388504e3B,0.47178082476659217,1244.162798679638,100.0,False,0.41656423325084857,1409.1977645181908,98.64384351627335
441,0xA533537C0942D0A3Ae4F1Ec19838D74eD9bD04cB,0.4702763919115662,1240.195364453669,100.0,False,0.41523587718838817,1404.7040604402023,98.32928423081415
443,0x8627a07625FFb568ce999ED406222368f923D5E1,0.46704379296179915,1231.6704750448196,100.0,False,0.4123816172604154,1395.0483665788645,97.65338566052051
444,0x1151852f87edF98aF7ca85a364255d8579d2A1C4,0.4660409740744529,1229.0258784695625,59.7579008547691,False,0.24590147146315441,831.8616343351292,58.23031440345904
445,0x87860d902Be0329e2B8cCd3bbF522a5F20Afb9d7,0.46183125746432657,1217.924170802885,100.0,False,0.40777914988825853,1379.478650759778,96.56350555318447
